RevisionID:,0106.0036.0012.0002.0022
File Name:,HC900-C75S Rev 7.2x : WEB_SIS_241224 *
Controller Name,WEBSIS
Title:,
Author:,
Created Date:,2/14/2005 7:38:48 AM
Modified Date:,12/24/2024 5:25:30 AM

Report Title:,Modbus Signal Tags and Variables Report [Process & Safety]

Hex Addr,Dec Addr,Tag Name,Description,Type,#,Data Type,EU,Decimal Places,Tag Type,'On' Label,'Off' Label,Initial/Source
0x195C,6493,PZIT-229A_ACK,Acknowledge,Variable,79,float 32, , ,Digital,ON,OFF,OFF
0x195E,6495,PZIT-229A_MANON,,Variable,80,float 32, , ,Digital,ON,OFF,OFF
0x1960,6497,PZIT-229A_MOS,,Variable,81,float 32, , ,Digital,ON,OFF,OFF
0x1962,6499,PZIT-226A,,Variable,82,float 32,,0,Analog, , ,0.00
0x1964,6501,PZIT-226A_RH,,Variable,83,float 32,,0,Analog, , ,100.00
0x1966,6503,PZIT-226A_RL,,Variable,84,float 32,,0,Analog, , ,0.00
0x1968,6505,PZIT-226A_HH_V,,Variable,85,float 32,,0,Analog, , ,275.00
0x196A,6507,PZIT-226A_LL_V,,Variable,86,float 32,,0,Analog, , ,0.00
0x196C,6509,PZIT-226A_DELAY,,Variable,87,float 32,,1,Analog, , ,0.00
0x196E,6511,PZIT-226A_ACK,Acknowledge,Variable,88,float 32, , ,Digital,ON,OFF,OFF
0x1970,6513,PZIT-226A_MANON,,Variable,89,float 32, , ,Digital,ON,OFF,OFF
0x1972,6515,PZIT-226A_MOS,,Variable,90,float 32, , ,Digital,ON,OFF,OFF
0x1974,6517,PZIT-227A,,Variable,91,float 32,,0,Analog, , ,0.00
0x1976,6519,PZIT-227A_RH,,Variable,92,float 32,,0,Analog, , ,100.00
0x1978,6521,PZIT-227A_RL,,Variable,93,float 32,,0,Analog, , ,0.00
0x197A,6523,PZIT-227A_HH_V,,Variable,94,float 32,,0,Analog, , ,275.00
0x197C,6525,PZIT-227A_LL_V,,Variable,95,float 32,,0,Analog, , ,0.00
0x197E,6527,PZIT-227A_DELAY,,Variable,96,float 32,,1,Analog, , ,0.00
0x1980,6529,PZIT-227A_ACK,Acknowledge,Variable,97,float 32, , ,Digital,ON,OFF,OFF
0x1982,6531,PZIT-227A_MANON,,Variable,98,float 32, , ,Digital,ON,OFF,OFF
0x1984,6533,PZIT-227A_MOS,,Variable,99,float 32, , ,Digital,ON,OFF,OFF
0x1986,6535,PZIT-228A,,Variable,100,float 32,,0,Analog, , ,0.00
0x1988,6537,PZIT-228A_RH,,Variable,101,float 32,,0,Analog, , ,100.00
0x198A,6539,PZIT-228A_RL,,Variable,102,float 32,,0,Analog, , ,0.00
0x198C,6541,PZIT-228A_HH_V,,Variable,103,float 32,,0,Analog, , ,275.00
0x198E,6543,PZIT-228A_LL_V,,Variable,104,float 32,,0,Analog, , ,0.00
0x1990,6545,PZIT-228A_DELAY,,Variable,105,float 32,,1,Analog, , ,0.00
0x1992,6547,PZIT-228A_ACK,Acknowledge,Variable,106,float 32, , ,Digital,ON,OFF,OFF
0x1994,6549,PZIT-228A_MANON,,Variable,107,float 32, , ,Digital,ON,OFF,OFF
0x1996,6551,PZIT-228A_MOS,,Variable,108,float 32, , ,Digital,ON,OFF,OFF
0x1998,6553,PZIT-W201B,,Variable,109,float 32,,0,Analog, , ,0.00
0x199A,6555,PZIT-W201B_RH,,Variable,110,float 32,,0,Analog, , ,100.00
0x199C,6557,PZIT-W201B_RL,,Variable,111,float 32,,0,Analog, , ,0.00
0x199E,6559,PZIT-W201B_HH_V,,Variable,112,float 32,,0,Analog, , ,100.00
0x19A0,6561,PZIT-W201B_LL_V,,Variable,113,float 32,,0,Analog, , ,0.00
0x19A2,6563,PZIT-W201B_DELAY,,Variable,114,float 32,,1,Analog, , ,0.00
0x19A4,6565,PZIT-W201B_ACK,Acknowledge,Variable,115,float 32, , ,Digital,ON,OFF,OFF
0x19A6,6567,PZIT-W201B_MANON,,Variable,116,float 32, , ,Digital,ON,OFF,OFF
0x19A8,6569,PZIT-W201B_MOS,,Variable,117,float 32, , ,Digital,ON,OFF,OFF
0x19AA,6571,PZIT-W202B_MOS,,Variable,118,float 32, , ,Digital,ON,OFF,OFF
0x19AC,6573,PZIT-W202B_MANON,,Variable,119,float 32, , ,Digital,ON,OFF,OFF
0x19AE,6575,PZIT-W202B_ACK,Acknowledge,Variable,120,float 32, , ,Digital,ON,OFF,OFF
0x19B0,6577,PZIT-W202B_DELAY,,Variable,121,float 32,,1,Analog, , ,0.00
0x19B2,6579,PZIT-W202B_LL_V,,Variable,122,float 32,,0,Analog, , ,0.00
