Tag No.,Tag Service,EU,P&ID No.,IO Type,System
100-XB-006B,100-P-006B HP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DVFC,PCS
100-XF-007A,100-P-007A LP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DVFC,PCS
100-XB-007A,100-P-007A LP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DVFC,PCS
100-XF-007B,100-P-007B LP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DVFC,PCS
100-XB-007B,100-P-007B LP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DVFC,PCS
100-LSL-311,ON 100-V-002 FOAM TANK,,80289-HSE-PID-1001,DVFC,PCS
100-PSL-318,ON 100-V-005A PRESSURIZATION BOTTLE,,80289-HSE-PID-1001,DVFC,PCS
100-PSL-319,ON 100-V-006A ACTUATION BOTTLE,,80289-HSE-PID-1001,DVFC,PCS
100-PSL-325,ON 100-V-006B ACTUATION BOTTLE,,80289-HSE-PID-1001,DVFC,PCS
100-ZSL-328,100-UZV-328 VALVE SWITCH CLOSE,,80289-HSE-PID-1001,DVFC,PCS
100-ZSH-328,100-UZV-328 VALVE SWITCH CLOSE,,80289-HSE-PID-1001,DVFC,PCS
100-XS-015,SYSTEM HEALTHY FROM PAGA,,-,DVFC,PCS
100-XS-016,SYSTEM FAULT FROM PAGA,,-,DVFC,PCS
100-XF-001,COMMON FAULT-NAV AID,,-,DVFC,PCS
100-PS-301,CLEAN AGENT CYLINDER BANK LOW PRESSURE ALARM,,-,DVFC,PCS
100-XI-003A,100-PK-003A DIESEL GENERATOR PACKAGE INDICATION,,80289-PRO-PID-1009,DVFC,PCS
100-XI-003B,100-PK-003B DIESEL GENERATOR PACKAGE INDICATION,,80289-PRO-PID-1009,DVFC,PCS
100-XS-020,NAV. AID BATTERY CB BOX STATUS,,,DVFC,PCS
100-XS-025,ESDB CB'S COMMON TRIP,,,DVFC,PCS
100-XS-026,ESDB INCOMMER CB STATUS,,,DVFC,PCS
100-XS-027,NON ESDB CB'S TRIP,,,DVFC,PCS
100-SIT-W901C,FROM WEB SE WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-FIT-W101C,FROM WEB SE WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-PIT-W205C,FROM WEB SE WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-TIT-W402C,FROM WEB SE WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-SIT-W901D,FROM WEB SW WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-FIT-W101D,FROM WEB SW WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-PIT-W205D,FROM WEB SW WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-TIT-W402D,FROM WEB SW WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-PIT-210,FROM WEB PRODUCTION MANIFOLD,,80289-PRO-PID-1008,AI,PCS
100-TIT-404,FROM WEB PRODUCTION MANIFOLD,,80289-PRO-PID-1008,AI,PCS
100-TIT-407,TO WEB PIPELINE PIG LAUNCHER,,80289-PRO-PID-1017,AI,PCS
100-LIT-604,ON 100-TK-004 DIESEL STORAGE TANK,,80289-PRO-PID-1009,AI,PCS
100-PIT-216,TO WEB PIPELINE PIG LAUNCHER,,80289-PRO-PID-1017,AI,PCS
100-LIT-601,HP RESERVOIR HYDRAULIC OIL LEVEL,,NOTE-1 | GIS WHC PID,AI,PCS
100-LIT-633,ON 100-Z-001 FIXED SUMP TANK,,80289-PRO-PID-1010 SHEET 2 OF 2,AI,PCS
100-LG/LIT-703,ON 100-V-001 VENT/CLOSED DRAIN KNOCKOUT DRUM,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,PCS
100-TIT-408,ON 100-V-001 VENT/CLOSED DRAIN KNOCKOUT DRUM,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,PCS
100-PIT-230,ON VENT/ CLOSED DRAIN KNOCK OUT DRUM100-V-001,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,PCS
100-PIT-605,HP HEADER HYDRAULIC OIL PRESSURE,,NOTE-1 | GIS WHC PID,AI,PCS
100-PIT-607,LP HEADER HYDRAULIC OIL PRESSURE,,NOTE-1 | GIS WHC PID,AI,PCS
100-PIT-611,LP HEADER ACCUMULATOR N2 PRECHARGE PRESSURE,,NOTE-1 | GIS WHC PID,AI,PCS
100-PIT-612,HP HEADER ACCUMULATOR  N2 PRECHARGE PRESSURE,,NOTE-1 | GIS WHC PID,AI,PCS
100-PIT-619,CHOKE/SD VALVE HEADER PRESSURE,,NOTE-1 | GIS WHC PID,AI,PCS
100-PIT-609,LOGIC HEADER HYDRAULIC OIL PRESSURE,,NOTE-1 | GIS WHC PID,AI,PCS
100-LIT-602,LP RESERVOIR HYDRAULIC OIL LEVEL,,NOTE-1 | GIS WHC PID,AI,PCS
R02S04CH15-Spare,,,AI,AI,PCS
100-LIT-626,ON 100-TK-001 CORROSION INHIBITOR TANK,,80289-PRO-PID-1011,AI,PCS
100-PIT-220A,OUTLET FROM CORROSION INHIBITOR PUMP (100-P-001A ),,80289-PRO-PID-1011,AI,PCS
100-PIT-220B,OUTLET FROM CORROSION INHIBITOR PUMP (100-P-001B ),,80289-PRO-PID-1011,AI,PCS
100-LIT-628,ON 100-TK-002 KHI INJECTION STORAGE TANK,,80289-PRO-PID-1012,AI,PCS
100-PIT-221A,OUTLET FROM CORROSION INHIBITOR PUMP (100-P-002A ),,80289-PRO-PID-1012,AI,PCS
100-PIT-221B,OUTLET FROM CORROSION INHIBITOR PUMP (100-P-002B ),,80289-PRO-PID-1012,AI,PCS
100-PIT-223,100-V-004 METHANOL STORAGE VESSEL,,80289-PRO-PID-1013,AI,PCS
100-LIT-630,ON 100-V-004 METHANOL STORAGE VESSEL,,80289-PRO-PID-1013,AI,PCS
100-PIT-222A,OUTLET FROM METHANOL PUMP (100-P-003A ),,80289-PRO-PID-1013,AI,PCS
100-PIT-222B,OUTLET FROM METHANOL PUMP (100-P-003B ),,80289-PRO-PID-1013,AI,PCS
100-LIT-631,ON 100-TK-003 SCALE INHIBITOR STORAGE TANK,,80289-PRO-PID-1015,AI,PCS
100-PIT-225A,DISCHARGE OF SCALE INHIBITOR PUMP (100-P-008A),,80289-PRO-PID-1015,AI,PCS
100-PIT-225B,DISCHARGE OF SCALE INHIBITOR PUMP (100-P-008B),,80289-PRO-PID-1015,AI,PCS
100-PIT-228,100-PK-005 COLD VENT PACKAGE,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,PCS
